epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,595.602,1.20227,4.26455,1.39947,0.2983,0.08417,0.09906,0.07146,1.48282,3.94608,1.44186,0.000100811,0.000100811,0.000100811
2,1191.22,1.25315,3.1466,1.41428,0.21019,0.35446,0.23948,0.15872,1.46438,2.88694,1.43808,0.000193819,0.000193819,0.000193819
3,1792.22,1.17182,2.46052,1.38697,0.28128,0.50576,0.40434,0.28483,1.45502,2.4153,1.4558,0.000278829,0.000278829,0.000278829
4,2388.68,1.11613,2.19845,1.34908,0.53251,0.38694,0.46248,0.29556,1.37234,2.37773,1.42178,0.000267004,0.000267004,0.000267004
5,2988.59,1.06433,2.03205,1.31751,0.39755,0.5041,0.42091,0.29902,1.35254,2.27472,1.3863,0.000255005,0.000255005,0.000255005
6,3591.52,1.04554,1.93653,1.30387,0.4883,0.58147,0.52491,0.38528,1.37628,1.97226,1.4409,0.000243006,0.000243006,0.000243006
7,4196.68,1.02359,1.84503,1.28988,0.50423,0.53832,0.55893,0.4026,1.34502,1.99091,1.36306,0.000231007,0.000231007,0.000231007
8,4794.18,1.00224,1.77589,1.27611,0.52628,0.5496,0.57161,0.41843,1.30237,1.92839,1.35924,0.000219008,0.000219008,0.000219008
9,5386.78,0.99256,1.71964,1.26533,0.58959,0.58436,0.62321,0.44476,1.31973,1.76678,1.37583,0.00020701,0.00020701,0.00020701
10,5982.83,0.97721,1.6649,1.2604,0.54215,0.59574,0.6212,0.46197,1.30077,1.80325,1.36406,0.000195011,0.000195011,0.000195011
11,6623.07,0.95342,1.60918,1.24265,0.64214,0.54261,0.63059,0.43447,1.32992,1.71488,1.39828,0.000183012,0.000183012,0.000183012
12,7587.86,0.96471,1.5696,1.24924,0.60523,0.62277,0.67199,0.47648,1.31625,1.68643,1.36496,0.000171013,0.000171013,0.000171013
13,8180.97,0.94036,1.53008,1.23421,0.65711,0.55215,0.63015,0.4376,1.3115,1.78409,1.3654,0.000159014,0.000159014,0.000159014
14,8771.7,0.93312,1.50001,1.23284,0.63658,0.61942,0.67493,0.49226,1.29693,1.69645,1.37597,0.000147016,0.000147016,0.000147016
15,9367.47,0.92305,1.46542,1.22841,0.70659,0.60305,0.6619,0.4731,1.28886,1.60062,1.35625,0.000135017,0.000135017,0.000135017
16,9953.05,0.90685,1.30925,1.26776,0.645,0.55933,0.63075,0.46275,1.27563,1.76005,1.3494,0.000123018,0.000123018,0.000123018
17,10537,0.879,1.18712,1.25075,0.69413,0.6499,0.69164,0.48381,1.29818,1.67257,1.34017,0.000111019,0.000111019,0.000111019
18,11126.1,0.86431,1.12088,1.23951,0.56791,0.69298,0.68827,0.50117,1.27548,1.69738,1.34603,9.90204e-05,9.90204e-05,9.90204e-05
19,11721.4,0.84562,1.08178,1.2256,0.69777,0.63391,0.69569,0.49125,1.2776,1.65537,1.31963,8.70216e-05,8.70216e-05,8.70216e-05
20,12317.6,0.83946,1.03403,1.21869,0.74997,0.61139,0.6914,0.50524,1.25951,1.55961,1.31272,7.50228e-05,7.50228e-05,7.50228e-05
21,12911.8,0.82033,0.99315,1.2088,0.78066,0.62174,0.70062,0.48478,1.30144,1.59615,1.35423,6.3024e-05,6.3024e-05,6.3024e-05
